Time,Elapsed_Time,Event
2017-04-05-16:58:00,0:02:00,Ignition
2017-04-05-17:01:31,0:05:30,Hall Door Open
2017-04-05-17:04:31,0:08:30,Hall Door Closed
2017-04-05-17:05:01,0:09:00,Hall Door Open
2017-04-05-17:05:31,0:09:30,Hall Door Closed
2017-04-05-17:06:01,0:10:00,Hall Door Open
2017-04-05-17:07:31,0:11:30,Bedroom Window Ventilation
2017-04-05-17:10:19,0:14:20,Second Ignition
2017-04-05-17:12:46,0:16:45,Hall Door Closed
2017-04-05-17:13:16,0:17:15,Hall Door Open
2017-04-05-17:14:06,0:18:05,Exterior Suppression
2017-04-05-17:18:00,0:22:00,End Experiment
